timestamp,pod,container,memory_bytes,phase
2026-08-05T21:19:27Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysqld-exporter,15814656,baseline
2026-08-05T21:19:27Z,compare-am-gp-n3-4-16-i-adv-mysql-1,slow-log-tailer,6684672,baseline
2026-08-05T21:19:27Z,compare-am-gp-n3-4-16-i-adv-mysql-1,do-agent,-1,baseline
2026-08-05T21:19:27Z,compare-am-gp-n3-4-16-i-adv-mysql-1,xtrabackup,1106956288,baseline
2026-08-05T21:19:27Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysql,13164503040,baseline
2026-08-05T21:19:27Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysqld-exporter,15532032,baseline
2026-08-05T21:19:27Z,compare-am-gp-n3-4-16-i-adv-mysql-2,slow-log-tailer,1830912,baseline
2026-08-05T21:19:27Z,compare-am-gp-n3-4-16-i-adv-mysql-2,do-agent,-1,baseline
2026-08-05T21:19:27Z,compare-am-gp-n3-4-16-i-adv-mysql-2,xtrabackup,24412160,baseline
2026-08-05T21:19:59Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysql,13373530112,baseline
2026-08-05T21:19:59Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysqld-exporter,16662528,baseline
2026-08-05T21:19:59Z,compare-am-gp-n3-4-16-i-adv-mysql-0,slow-log-tailer,6635520,baseline
2026-08-05T21:19:59Z,compare-am-gp-n3-4-16-i-adv-mysql-0,do-agent,-1,baseline
2026-08-05T21:19:59Z,compare-am-gp-n3-4-16-i-adv-mysql-0,xtrabackup,18935808,baseline
2026-08-05T21:19:59Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysql,11755937792,baseline
2026-08-05T21:19:59Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysqld-exporter,15654912,baseline
2026-08-05T21:19:59Z,compare-am-gp-n3-4-16-i-adv-mysql-1,slow-log-tailer,6905856,baseline
2026-08-05T21:19:59Z,compare-am-gp-n3-4-16-i-adv-mysql-1,do-agent,-1,baseline
2026-08-05T21:19:59Z,compare-am-gp-n3-4-16-i-adv-mysql-1,xtrabackup,1106989056,baseline
2026-08-05T21:19:59Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysql,13164437504,baseline
2026-08-05T21:19:59Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysqld-exporter,15540224,baseline
2026-08-05T21:19:59Z,compare-am-gp-n3-4-16-i-adv-mysql-2,slow-log-tailer,2301952,baseline
2026-08-05T21:19:59Z,compare-am-gp-n3-4-16-i-adv-mysql-2,do-agent,-1,baseline
2026-08-05T21:19:59Z,compare-am-gp-n3-4-16-i-adv-mysql-2,xtrabackup,24399872,baseline
2026-08-05T21:20:33Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysql,13365350400,baseline
2026-08-05T21:20:33Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysqld-exporter,16445440,baseline
2026-08-05T21:20:33Z,compare-am-gp-n3-4-16-i-adv-mysql-0,slow-log-tailer,6520832,baseline
2026-08-05T21:20:33Z,compare-am-gp-n3-4-16-i-adv-mysql-0,do-agent,-1,baseline
2026-08-05T21:20:33Z,compare-am-gp-n3-4-16-i-adv-mysql-0,xtrabackup,18911232,baseline
2026-08-05T21:20:33Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysql,11717607424,baseline
2026-08-05T21:20:33Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysqld-exporter,15921152,baseline
2026-08-05T21:20:33Z,compare-am-gp-n3-4-16-i-adv-mysql-1,slow-log-tailer,6615040,baseline
2026-08-05T21:20:33Z,compare-am-gp-n3-4-16-i-adv-mysql-1,do-agent,-1,baseline
2026-08-05T21:20:33Z,compare-am-gp-n3-4-16-i-adv-mysql-1,xtrabackup,1106980864,baseline
2026-08-05T21:20:33Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysql,13164064768,baseline
2026-08-05T21:20:33Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysqld-exporter,15187968,baseline
2026-08-05T21:20:33Z,compare-am-gp-n3-4-16-i-adv-mysql-2,slow-log-tailer,2023424,baseline
2026-08-05T21:20:33Z,compare-am-gp-n3-4-16-i-adv-mysql-2,do-agent,-1,baseline
2026-08-05T21:20:33Z,compare-am-gp-n3-4-16-i-adv-mysql-2,xtrabackup,24502272,baseline
2026-08-05T21:21:06Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysql,13355896832,baseline
2026-08-05T21:21:06Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysqld-exporter,16453632,baseline
2026-08-05T21:21:06Z,compare-am-gp-n3-4-16-i-adv-mysql-0,slow-log-tailer,6770688,baseline
2026-08-05T21:21:06Z,compare-am-gp-n3-4-16-i-adv-mysql-0,do-agent,-1,baseline
2026-08-05T21:21:06Z,compare-am-gp-n3-4-16-i-adv-mysql-0,xtrabackup,18808832,baseline
2026-08-05T21:21:06Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysql,11683401728,baseline
2026-08-05T21:21:06Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysqld-exporter,15429632,baseline
2026-08-05T21:21:06Z,compare-am-gp-n3-4-16-i-adv-mysql-1,slow-log-tailer,6680576,baseline
2026-08-05T21:21:06Z,compare-am-gp-n3-4-16-i-adv-mysql-1,do-agent,-1,baseline
2026-08-05T21:21:06Z,compare-am-gp-n3-4-16-i-adv-mysql-1,xtrabackup,1107456000,baseline
2026-08-05T21:21:06Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysql,13163921408,baseline
2026-08-05T21:21:06Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysqld-exporter,15118336,baseline
2026-08-05T21:21:06Z,compare-am-gp-n3-4-16-i-adv-mysql-2,slow-log-tailer,1990656,baseline
2026-08-05T21:21:06Z,compare-am-gp-n3-4-16-i-adv-mysql-2,do-agent,-1,baseline
2026-08-05T21:21:06Z,compare-am-gp-n3-4-16-i-adv-mysql-2,xtrabackup,24399872,baseline
2026-08-05T21:21:38Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysql,13241815040,load_50tps
